timestamp,type,label,track_id,since_s,image
20250823_173104_776536,abandoned_object,handbag,4,22.2,alert_20250823_173104_776536.jpg
20250823_173104_776536,abandoned_object,handbag,5,22.2,alert_20250823_173104_776536.jpg
20250823_173112_799094,loitering,person,1,30.2,alert_20250823_173112_799094.jpg
20250823_173112_927150,loitering,person,2,30.3,alert_20250823_173112_927150.jpg
20250823_173112_927150,loitering,person,6,30.1,alert_20250823_173112_927150.jpg
20250823_173147_603105,loitering,person,84,30.0,alert_20250823_173147_603105.jpg
20250824_072119_975822,abandoned_object,handbag,5,20.6,alert_20250824_072119_975822.jpg
20250824_072120_058951,abandoned_object,handbag,4,20.7,alert_20250824_072120_058951.jpg
20250824_072129_509145,loitering,person,6,30.0,alert_20250824_072129_509145.jpg
20250824_072129_810623,loitering,person,2,30.5,alert_20250824_072129_810623.jpg
20250824_072157_806972,loitering,person,78,30.0,alert_20250824_072157_806972.jpg
20250824_072239_031283,loitering,person,236,30.0,alert_20250824_072239_031283.jpg
20250824_075429_393385,loitering,person,1,30.1,alert_20250824_075429_393385.jpg
20250824_075429_523647,loitering,person,6,30.1,alert_20250824_075429_523647.jpg
20250824_075436_129996,abandoned_object,handbag,4,36.9,alert_20250824_075436_129996.jpg
20250824_075436_129996,abandoned_object,handbag,5,36.9,alert_20250824_075436_129996.jpg
20250824_075446_836013,loitering,person,2,47.6,alert_20250824_075446_836013.jpg
20250824_075522_042696,loitering,person,87,30.0,alert_20250824_075522_042696.jpg
